                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1782,                 4.9057,                 1.9238,                0.21139,                0.48585,                0.23899,                0.12428,                 1.5827,                 2.2674,                 1.4642,               0.003322,               0.003322,               0.003322
                      2,                 1.4194,                 2.1471,                 1.3223,                0.41354,                0.75874,                0.49308,                0.33936,                 1.1084,                 1.4546,                 1.1816,              0.0065894,              0.0065894,              0.0065894
                      3,                 1.3627,                 1.9121,                 1.2921,                0.33232,                0.68197,                0.35523,                0.22777,                 1.2135,                 1.8006,                  1.263,              0.0097909,              0.0097909,              0.0097909
                      4,                 1.3285,                 1.8917,                 1.2736,                0.40595,                0.63763,                0.44282,                 0.2957,                  1.223,                 1.6472,                 1.2736,               0.009703,               0.009703,               0.009703
                      5,                  1.229,                 1.7151,                 1.2121,                0.41536,                0.80893,                0.48924,                 0.3499,                  1.021,                 1.4024,                 1.1456,               0.009604,               0.009604,               0.009604
                      6,                 1.1563,                 1.5877,                 1.1787,                0.44038,                0.83534,                0.48031,                 0.3516,                0.96502,                 1.2536,                 1.1042,               0.009505,               0.009505,               0.009505
                      7,                 1.1013,                 1.4857,                 1.1471,                0.43662,                0.84721,                0.50996,                0.38249,                0.91648,                 1.2455,                 1.0834,               0.009406,               0.009406,               0.009406
                      8,                 1.0752,                 1.4864,                 1.1342,                 0.4588,                0.85918,                0.55909,                0.42034,                0.94872,                 1.1661,                 1.0814,               0.009307,               0.009307,               0.009307
                      9,                  1.053,                 1.4111,                 1.1103,                0.46474,                0.88836,                0.58693,                0.44997,                0.86129,                 1.0966,                  1.043,               0.009208,               0.009208,               0.009208
                     10,                 1.0374,                 1.4239,                 1.1099,                 0.4901,                0.90731,                0.57976,                0.45274,                0.81861,                 1.0336,                 1.0227,               0.009109,               0.009109,               0.009109
