                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0187,                 4.5267,                 1.8478,                0.29564,                0.64832,                0.31271,                0.18498,                 1.4149,                 1.9169,                 1.3964,               0.003322,               0.003322,               0.003322
                      2,                 1.3223,                  1.946,                 1.2526,                0.45026,                0.84342,                0.53815,                0.38558,                 1.0386,                 1.2841,                 1.1528,              0.0065894,              0.0065894,              0.0065894
                      3,                 1.2731,                 1.7743,                 1.2323,                0.41694,                0.73764,                0.45646,                0.30436,                   1.18,                 1.6157,                 1.2446,              0.0097909,              0.0097909,              0.0097909
                      4,                 1.2699,                 1.8102,                 1.2428,                0.44821,                0.72485,                0.54121,                0.37246,                 1.1273,                 1.4189,                 1.2115,               0.009703,               0.009703,               0.009703
                      5,                 1.1845,                 1.6288,                  1.186,                0.42836,                0.75155,                0.49162,                0.34792,                 1.0754,                 1.4009,                 1.1785,               0.009604,               0.009604,               0.009604
                      6,                 1.1203,                 1.5521,                 1.1564,                0.44974,                0.90107,                0.50134,                0.38271,                0.88416,                 1.1698,                 1.0553,               0.009505,               0.009505,               0.009505
                      7,                 1.0554,                  1.451,                 1.1199,                0.47335,                0.91484,                0.56824,                0.43828,                0.83864,                 1.1012,                 1.0397,               0.009406,               0.009406,               0.009406
                      8,                 1.0295,                 1.4284,                  1.108,                0.47937,                0.92137,                0.59181,                0.46153,                0.84533,                 1.0587,                 1.0381,               0.009307,               0.009307,               0.009307
                      9,                 1.0098,                 1.3727,                  1.089,                0.49015,                0.91463,                 0.6412,                0.50897,                 0.7896,                0.98531,                 1.0027,               0.009208,               0.009208,               0.009208
                     10,                0.99662,                 1.3601,                 1.0842,                0.52477,                0.89151,                0.67601,                0.53897,                0.77199,                0.95751,                0.99861,               0.009109,               0.009109,               0.009109
                     11,                0.94842,                 1.3269,                 1.0649,                0.47903,                0.93561,                0.56764,                0.45142,                0.78381,                 1.0277,                0.99825,                0.00901,                0.00901,                0.00901
                     12,                0.93055,                 1.2885,                  1.059,                 0.5221,                0.86616,                0.70526,                0.56422,                0.79359,                0.93362,                 1.0069,               0.008911,               0.008911,               0.008911
                     13,                0.93177,                 1.2747,                 1.0582,                 0.4786,                0.92253,                0.57595,                0.45495,                0.80123,                 1.0356,                 1.0084,               0.008812,               0.008812,               0.008812
                     14,                0.90158,                 1.2432,                 1.0393,                0.49064,                 0.9487,                0.60753,                 0.4948,                0.73615,                0.93171,                0.97439,               0.008713,               0.008713,               0.008713
                     15,                0.88187,                 1.2252,                  1.033,                0.48493,                0.95138,                0.65019,                0.53095,                0.72964,                 0.9404,                0.97644,               0.008614,               0.008614,               0.008614
                     16,                0.89126,                 1.2295,                 1.0386,                0.48609,                0.95139,                0.54216,                0.44265,                0.72476,                0.98688,                0.96979,               0.008515,               0.008515,               0.008515
                     17,                0.88199,                 1.2184,                 1.0314,                0.49061,                0.94531,                0.58382,                0.47792,                0.71673,                0.94103,                0.97092,               0.008416,               0.008416,               0.008416
                     18,                0.86961,                    1.2,                 1.0318,                0.61042,                0.81791,                0.77516,                0.63695,                0.70639,                0.85312,                 0.9644,               0.008317,               0.008317,               0.008317
                     19,                0.85392,                 1.1855,                 1.0168,                0.48747,                0.95665,                0.71946,                0.59236,                0.71323,                0.88859,                0.97636,               0.008218,               0.008218,               0.008218
                     20,                0.84583,                 1.2026,                 1.0156,                 0.5653,                0.85269,                0.74389,                0.61109,                0.71802,                0.86083,                0.97489,               0.008119,               0.008119,               0.008119
                     21,                 0.8158,                 1.1574,                 1.0039,                 0.4878,                0.96832,                0.52332,                0.43463,                0.69215,                0.94641,                0.96598,                0.00802,                0.00802,                0.00802
                     22,                0.82251,                 1.1828,                   1.01,                0.49208,                0.97359,                0.56106,                0.46423,                0.69319,                0.92213,                0.96641,               0.007921,               0.007921,               0.007921
                     23,                0.81559,                 1.1473,                0.99887,                0.49902,                0.95398,                0.67178,                0.56377,                0.68368,                0.87603,                0.96005,               0.007822,               0.007822,               0.007822
                     24,                0.81776,                 1.1642,                 1.0066,                0.49202,                0.96493,                0.52284,                0.43741,                0.66208,                0.92016,                0.95402,               0.007723,               0.007723,               0.007723
                     25,                0.81583,                 1.1496,                 1.0078,                0.49406,                0.96995,                0.60446,                0.50406,                0.67267,                0.89667,                0.95391,               0.007624,               0.007624,               0.007624
                     26,                0.80408,                 1.1383,                0.98594,                0.49235,                0.97806,                0.57112,                0.47853,                0.66714,                0.88437,                0.95489,               0.007525,               0.007525,               0.007525
                     27,                0.80662,                 1.1616,                 1.0058,                0.49535,                  0.967,                0.64264,                0.53456,                0.66384,                0.86507,                0.95447,               0.007426,               0.007426,               0.007426
                     28,                0.78276,                 1.1439,                0.99073,                0.59425,                0.84539,                0.78442,                0.65624,                0.65545,                0.81939,                0.94255,               0.007327,               0.007327,               0.007327
                     29,                0.77522,                 1.1238,                0.98283,                0.49941,                0.97543,                 0.5966,                0.50302,                0.64925,                 0.8594,                0.94944,               0.007228,               0.007228,               0.007228
                     30,                0.77983,                 1.1191,                0.98572,                0.49292,                0.97983,                0.55973,                 0.4757,                0.64587,                0.87771,                0.94713,               0.007129,               0.007129,               0.007129
                     31,                0.79221,                 1.1232,                0.99674,                0.49055,                0.97709,                0.52731,                0.44507,                0.64788,                0.94628,                0.95067,                0.00703,                0.00703,                0.00703
                     32,                0.76246,                 1.1172,                 0.9836,                0.49313,                0.98191,                 0.5227,                 0.4444,                0.63984,                0.90082,                0.94889,               0.006931,               0.006931,               0.006931
                     33,                0.77282,                 1.1213,                0.99273,                0.49526,                0.98094,                0.57318,                0.48544,                0.63969,                0.87553,                0.94192,               0.006832,               0.006832,               0.006832
                     34,                0.76698,                  1.118,                0.97265,                 0.4957,                0.97976,                0.59882,                0.50966,                0.63571,                0.85949,                0.94269,               0.006733,               0.006733,               0.006733
                     35,                0.75676,                  1.106,                0.97976,                0.49362,                 0.9824,                0.56284,                0.47828,                0.64468,                0.87562,                0.95008,               0.006634,               0.006634,               0.006634
                     36,                0.75627,                 1.0939,                0.97935,                 0.4977,                 0.9768,                 0.6177,                0.52231,                0.64527,                0.86064,                  0.953,               0.006535,               0.006535,               0.006535
                     37,                0.75173,                 1.0962,                0.97901,                0.49599,                0.97567,                0.60413,                0.51371,                0.63383,                   0.84,                0.94166,               0.006436,               0.006436,               0.006436
                     38,                0.75201,                 1.0862,                0.97171,                0.49665,                0.97971,                0.59358,                 0.5091,                0.63321,                0.85026,                0.94538,               0.006337,               0.006337,               0.006337
                     39,                0.74771,                 1.0851,                0.97503,                0.50256,                0.97816,                0.58263,                0.49786,                0.62879,                0.84705,                0.94268,               0.006238,               0.006238,               0.006238
                     40,                 0.7399,                 1.0811,                0.96611,                0.50888,                0.96212,                0.63262,                0.54041,                0.62432,                0.82612,                0.94286,               0.006139,               0.006139,               0.006139
                     41,                0.73736,                 1.0635,                0.96915,                0.50914,                0.95882,                0.61003,                0.52297,                0.62327,                 0.8367,                0.93841,                0.00604,                0.00604,                0.00604
                     42,                0.71343,                 1.0413,                0.95978,                0.49803,                 0.9793,                0.60111,                0.51145,                0.62941,                0.84937,                0.94495,               0.005941,               0.005941,               0.005941
                     43,                0.72453,                 1.0608,                0.96344,                0.50637,                0.96337,                0.63259,                0.54365,                0.62326,                0.82716,                0.94565,               0.005842,               0.005842,               0.005842
                     44,                0.73102,                 1.0501,                0.97108,                0.57557,                0.87974,                0.76442,                0.65401,                 0.6201,                0.75939,                0.94096,               0.005743,               0.005743,               0.005743
                     45,                0.71043,                 1.0314,                0.96083,                 0.5107,                0.97286,                0.64469,                0.55506,                0.61807,                0.80889,                0.94306,               0.005644,               0.005644,               0.005644
                     46,                0.71766,                 1.0412,                0.95698,                0.50839,                0.96866,                0.58511,                0.50294,                0.61653,                 0.8417,                0.94089,               0.005545,               0.005545,               0.005545
                     47,                0.70845,                 1.0479,                0.95781,                0.51875,                0.93668,                0.65918,                0.56717,                0.61118,                0.81496,                0.94115,               0.005446,               0.005446,               0.005446
                     48,                0.71053,                 1.0313,                0.96102,                0.49595,                0.97827,                0.61365,                0.52822,                0.61267,                0.83918,                0.94004,               0.005347,               0.005347,               0.005347
                     49,                0.68953,                 1.0287,                0.95611,                 0.5054,                0.96207,                0.62145,                0.53547,                0.61822,                0.82654,                0.94483,               0.005248,               0.005248,               0.005248
                     50,                0.70614,                 1.0111,                0.95906,                0.51561,                0.92918,                0.62007,                0.53554,                0.61154,                0.82004,                0.94062,               0.005149,               0.005149,               0.005149
                     51,                0.68607,                 1.0007,                0.94563,                0.50596,                0.95901,                0.57938,                0.50081,                0.60982,                0.84623,                0.94321,                0.00505,                0.00505,                0.00505
