                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.69251,                0.99981,                0.95654,                0.53531,                 0.9223,                0.65948,                0.56807,                0.61027,                 0.8036,                0.94123,               0.004951,               0.004951,               0.004951
                     53,                0.69134,                 1.0081,                0.95867,                0.50523,                0.96058,                0.59768,                0.51424,                0.60836,                0.84874,                0.94139,               0.004852,               0.004852,               0.004852
                     54,                0.67144,                0.99333,                0.94569,                0.49641,                0.96912,                0.58986,                0.50883,                0.60704,                0.86545,                0.94254,               0.004753,               0.004753,               0.004753
                     55,                0.68295,                0.96905,                 0.9499,                0.50997,                0.94892,                0.61362,                0.52985,                0.60552,                0.83784,                0.94165,               0.004654,               0.004654,               0.004654
                     56,                0.67178,                0.95249,                0.94347,                0.52756,                0.91098,                0.63339,                0.54673,                0.60317,                0.82345,                0.94056,               0.004555,               0.004555,               0.004555
                     57,                0.66563,                0.96682,                0.93898,                0.52242,                0.91077,                0.62914,                0.54342,                0.60517,                0.83867,                0.94131,               0.004456,               0.004456,               0.004456
                     58,                0.66095,                0.93596,                0.94183,                0.50623,                0.94823,                0.61802,                0.53471,                0.60797,                0.84947,                0.94343,               0.004357,               0.004357,               0.004357
                     59,                0.66719,                0.93443,                0.93867,                0.52191,                0.94145,                0.64466,                0.55712,                0.60751,                0.81995,                0.94396,               0.004258,               0.004258,               0.004258
                     60,                 0.6621,                0.94033,                0.93807,                0.51401,                0.93766,                0.62651,                0.54182,                0.60622,                0.84883,                0.94474,               0.004159,               0.004159,               0.004159
                     61,                0.67095,                0.92972,                 0.9458,                0.52137,                0.93046,                0.61615,                0.53312,                0.60578,                0.85418,                0.94001,                0.00406,                0.00406,                0.00406
                     62,                0.66382,                0.90313,                0.93829,                0.52415,                0.93516,                0.62044,                0.53629,                0.60789,                0.85024,                0.94211,               0.003961,               0.003961,               0.003961
                     63,                0.64885,                0.87793,                0.93318,                 0.5172,                0.93132,                0.61139,                0.52887,                0.60561,                0.86911,                0.94283,               0.003862,               0.003862,               0.003862
                     64,                0.64104,                0.86119,                0.92975,                0.52266,                0.92755,                0.62136,                0.53843,                0.60339,                0.86753,                0.94012,               0.003763,               0.003763,               0.003763
                     65,                0.64244,                0.85061,                0.93526,                0.52371,                0.92621,                0.62294,                0.53928,                 0.6037,                0.87172,                0.94195,               0.003664,               0.003664,               0.003664
                     66,                0.63341,                 0.8218,                0.92807,                0.52291,                0.92758,                0.63357,                0.54819,                0.60398,                0.87483,                0.94324,               0.003565,               0.003565,               0.003565
                     67,                0.63587,                 0.8262,                0.92799,                0.51967,                0.93446,                0.61583,                0.53429,                0.60137,                0.90082,                0.94291,               0.003466,               0.003466,               0.003466
                     68,                0.63916,                0.81919,                0.93525,                 0.5215,                0.92253,                0.61526,                0.53382,                0.59936,                0.92019,                0.94272,               0.003367,               0.003367,               0.003367
                     69,                0.64095,                  0.817,                0.93682,                0.51781,                0.92356,                0.61102,                0.53017,                 0.5987,                0.93245,                0.94082,               0.003268,               0.003268,               0.003268
                     70,                0.63909,                0.78321,                0.93517,                0.52895,                0.90908,                0.61976,                0.53824,                0.59997,                0.93729,                0.94124,               0.003169,               0.003169,               0.003169
                     71,                0.63963,                0.77646,                0.92987,                0.52554,                0.91879,                0.62634,                0.54435,                0.60104,                0.94036,                 0.9425,                0.00307,                0.00307,                0.00307
                     72,                0.61739,                0.75463,                0.92882,                0.52948,                0.90751,                0.62671,                0.54414,                0.60083,                0.94886,                0.94198,               0.002971,               0.002971,               0.002971
                     73,                   0.63,                 0.7639,                0.93586,                0.52968,                0.89818,                0.62645,                 0.5441,                 0.6011,                 0.9678,                0.94379,               0.002872,               0.002872,               0.002872
                     74,                0.61655,                0.72884,                0.92382,                0.52966,                0.90047,                0.63077,                 0.5479,                0.60167,                0.96787,                0.94415,               0.002773,               0.002773,               0.002773
                     75,                0.61957,                0.73148,                0.92895,                0.53481,                0.89349,                0.63453,                0.55151,                0.60108,                0.97795,                0.94397,               0.002674,               0.002674,               0.002674
                     76,                0.61232,                0.70505,                0.92664,                0.53751,                0.88649,                0.63518,                0.55228,                0.60202,                0.99223,                0.94506,               0.002575,               0.002575,               0.002575
                     77,                0.62473,                0.68598,                0.92866,                0.53879,                0.87529,                0.63451,                0.55188,                0.60066,                  1.001,                0.94351,               0.002476,               0.002476,               0.002476
                     78,                0.59006,                0.66054,                0.91648,                0.54168,                 0.8767,                0.63414,                0.55154,                0.60116,                 1.0146,                0.94419,               0.002377,               0.002377,               0.002377
                     79,                0.59956,                0.65784,                0.92097,                 0.5369,                 0.8703,                0.62889,                0.54678,                0.60207,                  1.027,                0.94528,               0.002278,               0.002278,               0.002278
                     80,                0.59929,                0.63997,                 0.9168,                0.53687,                0.87003,                0.62807,                0.54663,                0.60187,                 1.0473,                0.94505,               0.002179,               0.002179,               0.002179
                     81,                0.60175,                0.64339,                0.91855,                0.53892,                0.86642,                0.62896,                 0.5475,                0.60167,                 1.0594,                0.94473,                0.00208,                0.00208,                0.00208
                     82,                0.58579,                0.62295,                0.91246,                0.54035,                0.86831,                0.63137,                0.54914,                0.60133,                 1.0637,                0.94474,               0.001981,               0.001981,               0.001981
                     83,                0.60626,                 0.6249,                0.92127,                0.53792,                0.86582,                0.63122,                0.54949,                0.60094,                 1.0742,                0.94483,               0.001882,               0.001882,               0.001882
                     84,                0.58434,                0.59358,                0.90991,                0.54457,                0.86008,                0.63262,                0.55044,                0.60094,                 1.0865,                0.94498,               0.001783,               0.001783,               0.001783
                     85,                  0.592,                0.58549,                0.91747,                0.54623,                0.85835,                0.63405,                 0.5511,                0.60156,                 1.0945,                0.94515,               0.001684,               0.001684,               0.001684
                     86,                 0.5873,                0.58962,                0.91767,                0.54894,                0.85245,                0.63538,                0.55302,                0.60151,                 1.1047,                0.94535,               0.001585,               0.001585,               0.001585
                     87,                 0.5918,                0.58291,                0.91943,                0.55115,                0.85183,                0.63514,                0.55282,                0.60151,                 1.1127,                0.94579,               0.001486,               0.001486,               0.001486
                     88,                0.58035,                0.57116,                0.91419,                0.55152,                0.84919,                 0.6341,                0.55191,                0.60156,                 1.1221,                0.94566,               0.001387,               0.001387,               0.001387
                     89,                0.57716,                0.54763,                0.90641,                0.55293,                0.84383,                0.63346,                 0.5509,                 0.6017,                 1.1396,                0.94605,               0.001288,               0.001288,               0.001288
                     90,                0.57924,                0.55523,                0.91374,                0.55406,                0.84067,                 0.6331,                0.55032,                0.60149,                 1.1483,                0.94641,               0.001189,               0.001189,               0.001189
                     91,                0.46622,                0.32242,                0.85429,                 0.5552,                0.83913,                0.63056,                0.54779,                0.60215,                 1.1561,                0.94763,                0.00109,                0.00109,                0.00109
                     92,                0.46237,                0.30581,                0.85334,                0.55525,                0.83473,                0.62954,                0.54721,                0.60221,                 1.1639,                0.94814,               0.000991,               0.000991,               0.000991
                     93,                0.45179,                0.30017,                0.84802,                0.55413,                0.82801,                0.62561,                 0.5438,                0.60237,                 1.1817,                0.94835,               0.000892,               0.000892,               0.000892
                     94,                0.44765,                0.28964,                0.84674,                0.55412,                0.82314,                0.62385,                0.54207,                0.60287,                 1.1959,                0.94883,               0.000793,               0.000793,               0.000793
                     95,                0.44784,                 0.2711,                0.84286,                0.55419,                0.82252,                 0.6211,                0.54008,                0.60329,                  1.212,                0.94942,               0.000694,               0.000694,               0.000694
                     96,                 0.4444,                0.26612,                0.84603,                0.55395,                0.81974,                0.61879,                0.53813,                0.60358,                 1.2276,                0.94996,               0.000595,               0.000595,               0.000595
                     97,                0.43268,                0.25913,                0.84423,                0.55451,                0.81105,                 0.6177,                0.53767,                0.60385,                 1.2426,                0.95029,               0.000496,               0.000496,               0.000496
                     98,                0.43672,                0.25319,                0.84361,                0.55589,                0.80576,                0.61557,                0.53561,                0.60442,                 1.2579,                0.95117,               0.000397,               0.000397,               0.000397
                     99,                0.43538,                0.25216,                0.84371,                0.55635,                0.80192,                0.61411,                 0.5341,                  0.605,                 1.2716,                0.95179,               0.000298,               0.000298,               0.000298
                    100,                 0.4284,                0.23862,                0.83766,                0.55604,                0.79775,                0.61384,                0.53423,                0.60533,                 1.2779,                0.95225,               0.000199,               0.000199,               0.000199
